sp	LA	SLA	LDMC
sp1	19.34988222	101.1700086	419.9913233
sp2	37.25016248	60.98733268	267.6919863
sp3	0.889067205	266.6331019	389.0480288
sp4	25.31615315	112.1038035	430.5596217
sp5	8.953473104	149.4776567	399.5824567
sp6	12.018328	270.4080334	259.4007895
sp7	19.53960334	116.4942079	360.5506806
sp8	3.670791917	81.29831894	374.250242
sp9	5.425875899	123.64099	434.2110436
sp10	27.69951506	81.0808278	401.436414
sp11	30.17646731	152.2125824	313.7787612
sp12	10.13932727	83.79325089	479.1412671
sp13	70.78872137	96.61031433	359.2425674
sp14	23.9882735	111.4040871	416.9402157
sp15	7.25738	146.9504578	378.2605122
sp16	24.96052138	154.1449292	404.0611305
sp17	24.54783614	172.8708223	365.671156
sp18	22.9540998	144.9824263	398.151593
sp19	1474.532197	161.2067463	291.5683814
sp20	49.16485556	195.8899172	332.7868846
sp21	13.58896296	96.28836075	389.7700748
sp22	25.53259267	119.6957322	395.2077438
sp23	7.054448485	83.20807506	440.23862
sp24	13.26553646	81.24921176	410.4696438
sp25	49.14168229	122.5050308	320.4814418
sp26	15.28403364	64.10515956	411.1897607
sp27	34.75052418	148.5829104	370.3820316
sp28	20.21760667	85.88480178	306.6723388
sp29	13.3	190.7	351.07
sp30	16.65154855	88.86280971	404.6209858
sp31	37.67950079	128.4872111	418.1010511
sp32	40.13835389	78.03013213	307.2931798
sp33	15.24145745	125.4775965	264.6392881
sp34	3.437588279	173.3883024	394.8775671
sp35	29.93146102	108.3197908	313.2284454
sp36	26.63893133	77.33979579	333.3301516
sp37	18.40689555	123.8666239	380.7597186
sp38	23.50196834	69.60194158	358.8523023
sp39	3.611376831	76.68730219	357.8763882
sp40	31.90240667	93.31437113	430.2307942
sp41	7.21	99.1	392.41
sp42	6.320433995	90.48362873	397.8617158
sp43	8.775088509	92.79398395	414.4301133
sp44	10.73238959	104.9285343	348.6629747
sp45	96.57798667	129.9831515	419.7405064
sp46	20.72373894	121.9843712	370.3867942
sp47	90.88156692	95.7900863	281.0690187
sp48	10.94737904	73.13300539	373.9776487
sp49	22.9599	81.28985294	449.6488726
sp50	25.36059458	151.5294762	229.1523088
sp51	39.86940371	94.80600727	322.3469666
sp52	32.65803	154.587391	291.9913097
sp53	145.0898784	84.2999098	274.0017803
sp54	37.12023889	62.5720249	415.9331023
sp55	6.158903704	31.90647766	498.4887227
sp56	7.699803463	59.00014943	415.4808269
sp57	13.23257057	58.67527616	404.0483761
sp58	17.27234747	118.7033446	439.0284849
sp59	8.878383333	131.0720265	448.921064
sp60	15.89706995	133.0943622	365.9107802
sp61	7.689951079	80.62685003	342.1893143
sp62	10.329865	177.5160333	337.0424421
sp63	31.38961011	134.9232872	397.3394422
sp64	2.859417915	135.5999734	457.9802043
sp65	13.96016775	124.5988602	332.2711441
sp66	12.28370139	58.90880433	408.1505811
sp67	5.388788	112.2933333	354.2975957
sp68	42.55905926	158.9249355	290.4024652
sp69	0.284806876	165.3115248	444.8419568
sp70	33.3599257	236.3842847	283.6508458
sp71	24.06850715	205.323693	295.6510687
sp72	14.93633333	163.337	402.777
sp73	1.24	79.6	412.62
sp74	5.969647176	116.0223368	410.5419683
sp75	13.96822804	101.0845432	388.75051
sp76	16.81252762	96.57318692	311.1515531
sp77	5.959045834	122.875003	344.7778616
sp78	3.740143347	54.0797258	405.2411348
sp79	3.93	93.4	444.74
sp80	2.268581383	83.41338052	396.2899923
sp81	41.84163975	83.1848964	411.817932
sp82	12.6498163	48.14292302	479.1266841
sp83	15.27720036	142.907713	311.0099208
sp84	7.950358542	104.8524575	479.0196703
sp85	4.825867778	80.04163938	447.1750202
sp86	9.098588413	112.626091	353.9187271
sp87	92.26050283	75.27020662	331.5601891
sp88	27.57088288	92.17480177	345.3566391
sp89	15.087559	87.8734823	355.6786349
sp90	14.13033553	56.00118128	468.0686883
sp91	58.60135267	59.9789495	485.7795661
sp92	30.51893208	82.08094607	454.7194432
sp93	7.85	66.7	483.89
sp94	11.64136148	88.99008598	459.5506732
sp95	26.98244287	97.28645012	437.1695418
sp96	13.939075	89.38726594	462.6596705
sp97	8.351299829	84.39440632	490.5901519
sp98	23.93233333	105.8972762	454.106904
sp99	73.61145	73.19631442	372.7479471
sp100	4.278546667	90.8078411	407.0503271
sp101	16.25988598	49.31911734	377.9515073
sp102	40.34904584	163.8132014	183.0004163
sp103	0.760052922	81.40709582	406.9789058
sp104	14.73223757	95.15965416	420.3662208
sp105	14.69	92.7	413.8
sp106	63.4875825	93.37801195	368.2320382
sp107	16.43322315	256.4751683	221.9400104
sp108	23.05	220.9	288.73
sp109	35.65034286	51.57902143	497.3114587
sp110	20.63054345	90.27700781	290.0771104
sp111	105.3491409	73.38999351	328.7159869
sp112	6.907622137	123.3196896	435.18065
sp113	0.970331335	80.50666996	465.1095606
sp114	29.71932	175.2929791	206.800164
sp115	16.65853565	148.4354146	304.3604887
sp116	23.18165227	105.3005987	429.2311578
sp117	7.960368149	119.0480516	304.4901684
sp118	9.801275556	59.94658455	364.3214665
sp119	46.81900556	130.4960253	226.1280528
sp120	7.169902594	113.1125308	346.7399409
sp121	22.42842387	120.4195446	445.9292721
sp122	47.658328	101.8095672	382.0074528
sp123	30.87086945	137.4934429	291.9313769
sp124	452.0982617	231.0311617	146.7971077
sp125	24.35106451	70.80119164	346.5291067
sp126	52.5818691	124.1245013	295.7195327
sp127	1.201380741	126.2916877	359.7035954
sp128	9.327094	109.1262873	393.4398035
sp129	5.200093203	129.4059155	360.4391243
