site	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129
leveg_EEA-01	0	0	0	0	0	0	0	150	0	0	0	0	0	0	8.33	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.33	0	41.67	25	8.33	0	0	0	133.33	0	0	0	8.33	0	0	8.33	0	0	0	0	0	0	0	33.33	0	0	0	0	0	50	0	0	0	0	0	8.33	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0
leveg_EEA-02	0	0	0	0	0	0	0	266.67	16.67	0	0	0	0	0	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	8.33	0	0	0	0	0	0	0	33.33	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	25	33.33	0	0	0	8.33	0	91.67	0	16.67	0	0	0	0	0	0	0	0	0	0	0	33.33	16.67	0	0	0	0	0	75	0	0	0	0	25	0	33.33	0	0	41.67	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	0	25
leveg_EEA-03	0	0	0	0	0	0	0	158.33	0	0	0	8.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	33.33	0	41.67	0	0	0	16.67	0	125	0	0	0	0	0	0	41.67	0	0	0	0	0	0	8.33	25	0	0	0	0	0	150	0	0	0	0	0	0	8.33	0	8.33	16.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leveg_ENN-01	83.33333333	0	8.333333333	8.333333333	0	41.66666667	0	0	0	0	25	0	33.33333333	0	0	0	0	16.66666667	0	0	83.33333333	8.333333333	0	8.333333333	8.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.333333333	0	0	0	8.333333333	400	8.333333333	0	0	8.333333333	16.66666667	0	8.333333333	41.66666667	0	0	0	0	8.333333333	0	0	0	0	0	0	8.333333333	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	8.333333333	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.66666667	0	8.333333333	0	0	0	0	0	0	0	0	0	8.333333333	0	0	0	0	0	0	0	25	0	0	16.66666667	0	0	0	0	0	0	0
leveg_ENN-02	8.333333333	8.33	0	50	0	358.33	8.33	0	0	8.333333333	116.67	0	25.00333333	8.333333333	0	25	8.33	100.0033333	8.333333333	0	41.66333333	8.333333333	0	0	0	0	25.00333333	8.333333333	8.33	0	8.33	0	0	0	0	0	16.67	8.333333333	0	41.66666667	0	0	0	0	100	0	16.66666667	0	16.66666667	8.333333333	16.66666667	33.33333333	16.66333333	16.66666667	0	0	8.33	41.66333333	0	8.33	0	8.33	8.333333333	8.33	0	16.67	0	16.66333333	0	0	0	8.33	0	0	0	0	0	0	0	0	8.33	0	0	0	0	8.33	16.67	0	8.33	0	24.99666667	8.33	0	8.333333333	8.333333333	0	0	8.33	25	0	16.67	0	0	0	8.33	16.67	0	0	0	33.33	0	0	0	0	0	75	0	0	66.66666667	0	25	16.66666667	8.333333333	8.333333333	0	25	0	0	0
leveg_MFO-01	8.333333333	0	0	0	0	0	0	0	0	8.333333333	25	0	8.333333333	8.333333333	0	0	0	8.333333333	8.333333333	0	33.33333333	8.333333333	0	0	0	0	8.333333333	8.333333333	0	0	0	0	0	0	0	0	0	8.333333333	0	41.66666667	0	0	0	0	0	0	16.66666667	0	16.66666667	8.333333333	16.66666667	33.33333333	8.333333333	16.66666667	0	0	0	8.333333333	0	0	0	0	8.333333333	0	0	0	0	8.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.66666667	0	0	8.333333333	8.333333333	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	16.66666667	0	25	16.66666667	8.333333333	8.333333333	0	25	0	0	0
leveg_MFO-02	183.3333333	0	0	16.66666667	0	366.6666667	0	0	0	8.333333333	8.333333333	0	0	0	0	0	0	0	0	8.333333333	16.66666667	25	0	0	0	0	0	16.66666667	0	0	0	0	0	0	0	0	0	0	0	16.66666667	0	0	0	0	225	0	8.333333333	8.333333333	25	25	0	16.66666667	0	0	0	0	0	8.333333333	0	0	0	8.333333333	0	0	0	0	16.66666667	66.66666667	0	66.66666667	33.33333333	0	0	0	0	0	0	0	0	0	16.66666667	0	0	0	0	0	0	8.333333333	0	0	8.333333333	0	0	8.333333333	0	0	0	0	0	0	0	8.333333333	0	0	0	8.333333333	33.33333333	0	0	0	0	0	0	0	0	25	0	0	8.333333333	0	0	16.66666667	0	0	0	8.333333333	0	0	0
leveg_PNA-01	0	0	0	0	0	0	0	300	16.67	0	0	33.33	0	0	0	8.33	16.67	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	0	0	0	25	0	0	0	0	75	25	41.67	0	0	0	0	0	0	0	0	0	0	0	0	41.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	50	58.33	0	0	41.67	0	0	0	0	8.33	8.33	0	0	0	8.33	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	108.33	0	0	0	0	8.33	0	0	0	0	0	0	0	0	0	0	16.67
leveg_PNA-02	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	66.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.67	0	0	41.67	8.33	0	0	0	0	0	0	0	0	0	0	0	0	58.33	16.67	0	8.33	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	108.33	58.33	25	0	16.67	0	16.67	0	0	0	8.33	0	0	0	0	0	0	0	0	0	83.33	0	16.67	8.33	0	0	0	0	0	0	0	0	0	0	0	0	58.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0
leveg_PNA-03	0	0	0	0	16.67	0	0	16.67	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33	0	0	33.33	0	0	141.67	0	0	0	0	0	0	0	0	0	0	0	0	0	41.67	33.33	0	0	8.33	41.67	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	8.33	8.33	16.67	0	0	0	75	0	0	0	0	0	0	0	0	0	16.67	0	33.33	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	8.33	0	0	0	0	0	0	8.33	0	0	0	0	0	0	50	8.33	0
