trat	SLA	LDMC	LA	SN	SM
Adult	76.1664116	441.8789833	8.118481818	1	0.1613
Adult	62.24684705	410.4685752	14.51214583	1	0.1613
Adult	150.9361418	399.5841418	8.635682761	2	0.01821
Adult	220.8524319	288.7342818	23.05348193	26.5	0.350877193
Adult	53.02772612	368.496979	1.197570706	77.5	4.87804878
Adult	108.32297	434.2131307	4.127627697	3	0.015384615
Adult	99.77216884	448.4098073	11.167475	1	0.056497175
Adult	65.24888129	370.0137102	56.96767353	2	0.095238095
Adult	144.8169014	411.1515553	3.5987	5.5	0.00945
Adult	141.6047876	404.0633915	22.45156415	5.5	0.058461538
Adult	164.1106682	339.3804574	5.04667385	1.5	0.021276596
Adult	99.33923601	370.4541139	5.063662684	65	0.027964988
Adult	81.08487196	409.8082454	27.32695185	3	0.00025
Adult	110.7976301	379.2070485	14.30619	3	0.00025
Adult	90.92561942	404.6219716	18.45809709	1	1.851851852
Adult	70.78743739	305.4134474	31.79852045	1	0.03805
Adult	150.4927894	264.6378643	11.72437235	1	0.0005
Adult	97.71937228	313.2253361	7.404383061	3.5	0.003897
Adult	79.48610896	343.5397847	23.04915667	9	0.004587156
Adult	76.68310437	357.8752764	3.611753662	2	0.16
Adult	99.1084387	392.4064286	7.21113	1	0.06615
Adult	66.71171943	377.3930774	3.084277383	1	0.133448
Adult	73.61771697	466.3587722	5.0194	1	0.280631
Adult	112.4211545	429.5368301	9.28936	3	0.017357947
Adult	31.90943298	498.4861681	6.156711111	4	0.003191667
Adult	59.0004483	415.4824808	7.699410389	2.5	0.002608
Adult	64.79068176	432.3761137	14.07939544	4	0.00754717
Adult	140.9158985	431.2534679	23.41676282	6	4.7642
Adult	131.3649564	433.7147056	10.856	6	4.7642
Adult	121.6906602	379.8229895	13.2550953	38	0.000666667
Adult	80.6405501	342.187943	7.689853237	35	0.003409083
Adult	61.83321369	361.8769638	11.33482091	5.5	0.001843
Adult	159.1540971	434.4935419	0.378609557	3	0.0727
Adult	142.457492	332.8855372	8.38382875	3	0.03
Adult	79.60187174	412.6189763	1.241572232	2	0.03
Adult	116.0296735	410.5439366	5.969294352	3	0.012247368
Adult	101.080858	388.7507751	13.96707009	6	0.052631579
Adult	82.03949813	319.2455572	15.89547363	7.5	0.0298849
Adult	122.865006	344.7757232	5.958091667	6	0.03
Adult	62.13019791	410.9718996	3.946217833	1	0.058139535
Adult	93.35857423	444.735904	3.9264155	1.5	0.03
Adult	83.42676103	396.2899846	2.267162765	1.5	0.052125
Adult	39.35460197	477.0289255	9.182869202	2	0.03
Adult	105.2087979	436.2023662	1.91459	1.57	0.0476545
Adult	104.1196419	482.1347804	8.257564167	1	0.1415
Adult	68.77258326	459.6902524	5.586426	3	0.010911
Adult	116.0506249	346.8579398	8.989859444	1	0.02020202
Adult	70.02806417	375.0552558	14.10034328	1	0.021
Adult	56.00354384	468.066065	14.13100658	1	1.111111111
Adult	66.68796605	483.8911635	7.851641728	1	0.06903
Adult	71.36543984	479.7825422	8.28819	1	0.35545
Adult	80.74757282	493.4638286	5.8219	1	1.282051282
Adult	86.40010097	472.4464132	8.00051	1	0.0863
Adult	187.9645089	407.0509814	9.05644	1	0.00070922
Adult	49.04563536	389.2009824	12.35489088	1	0.006493506
Adult	67.27758257	439.1860406	0.5033	1	0.03333
Adult	98.68830753	414.4660609	13.818065	2	0.7834
Adult	51.56853215	497.312188	39.50282222	1.5	0.02
Adult	87.64477348	301.0549439	16.5439002	1	0.058972527
Adult	80.51000989	465.1086817	0.970994004	2	0.07
Adult	175.2859581	206.8003279	29.71864	80	0.0037
Adult	102.6803631	341.7254441	10.7455	94	0.0037
Adult	115.2766105	287.4418736	6.411140745	1	0.109728
Adult	102.8230022	371.0579536	6.563863937	300	0.00003
Adult	74.1055481	346.6723693	25.31281377	1	0.000625
Adult	109.4994758	672.5783808	1.184142222	3.5	0.000833333
Adult	86.21361917	443.6765685	10.25512	4.5	0.0073218
Adult	80.52212146	421.4072669	8.800459028	3	0.013745516
Adult	86.83351117	388.9933461	5.246703456	3	0.013745516
Sapling	262.4501482	279.5158472	19.823325	26.5	0.350877193
Sapling	99.42072471	304.0918294	1.09953125	77.5	4.87804878
Sapling	177.3364979	398.2608468	3.898631732	3	0.015384615
Sapling	280.9965256	313.77	15.274875	5.5	0.833333333
Sapling	106.3914592	417.1722341	9.281175	1	0.056497175
Sapling	109.2822325	336.207395	76.371	2	0.095238095
Sapling	234.5977734	410.5278978	3.46538	5.5	0.00945
Sapling	226.9120676	306.5265391	5.806222222	1.5	0.021276596
Sapling	192.1837228	364.7318148	23.85	3	0.00025
Sapling	164.5585216	404.62	27.2476	1	1.851851852
Sapling	280.2936712	366.2288033	15.03496148	2	0.15245
Sapling	158.8469008	335.7796398	42.81329902	1	0.03805
Sapling	120.0944308	335.7796398	12.36629611	1	0.04808
Sapling	292.3645931	173.7202478	7.658977092	1	0.0005
Sapling	170.6780541	256.6427841	9.778103174	3.5	0.003897
Sapling	168.4868842	238.8794997	13.167	9	0.004587156
Sapling	200.3312397	350.7047233	7.9866	2	0.16
Sapling	130.4807814	406.4239415	3.61945	1	0.133448
Sapling	130.2684095	362.0834251	8.587783182	1	0.280631
Sapling	162.7368312	303.8494117	8.312769231	2.5	0.003125
Sapling	135.175184	349.4121946	7.778666667	4	0.003191667
Sapling	186.2164955	347.2104749	9.704791667	2.5	0.002608
Sapling	148.3005113	308.0044308	32.56860769	4	0.00754717
Sapling	224.1796224	387.397216	4.963277778	6	4.7642
Sapling	275.8030604	387.397216	11.69725	6	4.7642
Sapling	287.8514993	296.4413366	10.39375152	38	0.000666667
Sapling	210.88803	227.6957696	14.3995	35	0.003409083
Sapling	168.1026751	332.27	16.54027778	1	0.13335
Sapling	235.7123334	269.9554212	11.0714	1	0.02055
Sapling	192.0013671	309.7974797	27.74497222	5.5	0.001843
Sapling	138.7413622	337.9422569	22.50432022	11.5	0.001843
Sapling	222.4780943	457.0399354	0.091534672	3	0.01470545
Sapling	178.8697177	310.1912256	4.56334	1	0.0388875
Sapling	95.10348131	489.8148231	4.3744	1.66	0.019423
Sapling	128.9282379	363.9777511	4.236233333	3	0.03
Sapling	129.7449453	359.6244824	4.48819697	2.5	0.03
Sapling	120.3851301	381.6800362	5.134	3	0.012247368
Sapling	159.611728	380.2046545	17.80035	6	0.052631579
Sapling	173.6577158	374.7	26.81185333	7.5	0.0298849
Sapling	131.3826367	362.240576	4.4946	6	0.03
Sapling	121.3169006	304.2803878	4.883712121	1	0.058139535
Sapling	137.6294704	378.6575648	4.82852381	1.5	0.05
Sapling	682.4004754	242.756591	4.9097	1.5	0.05
Sapling	120.769649	406.5599436	3.0387	2	0.052125
Sapling	108.5663433	317.86	26.65579762	2	0.05
Sapling	161.2112272	483.9798196	3.1516	1	0.1415
Sapling	126.2999202	424.9281583	3.275236806	3	0.010911
Sapling	138.1146179	317.79673	11.59790476	1	0.02020202
Sapling	134.1807156	320.7588267	24.47783167	1	0.021
Sapling	165.6885012	468.06	31.72272	1	1.111111111
Sapling	143.2057757	416.2517209	7.7786	1	0.06903
Sapling	158.2882233	513.3068337	10.87128611	1	0.35545
Sapling	233.0966004	323.0453843	26.42706464	1	0.164742593
Sapling	158.788029	408.598479	8.893281234	1	0.0863
Sapling	234.0897141	211.6521624	87.45014286	1	0.006493506
Sapling	127.2198256	365.2802893	2.453333334	1	0.03333
Sapling	228.9785382	365.3179605	9.510555556	1	0.132749237
Sapling	264.6560971	308.7454662	24.06051852	2.5	0.0181555
Sapling	119.3070288	471.794888	1.31445935	2	0.07
Sapling	339.3676793	206.5309203	14.22793333	102.5	0.001571
Sapling	362.3555448	174.1629732	7.268	94	0.0037
Sapling	200.6307461	254.1740737	10.57609259	1	0.109728
Sapling	200.1144258	302.8840203	12.242	1	0.109728
Sapling	158.2624434	360.9931395	1.7488	3.5	0.000833333
Sapling	167.2088941	340.0318345	5.715	4.5	0.0073218
Sapling	83.67	274.4579588	5.24	3	0.013745516
