Continent;Country;PlotID;Plot Code;PlotViewID;Plot Name;Plot View Name;PI;TreeID;Tag No;Sub Plot T1;Sub Plot T2;Standardised SubPlot T1;X;Y;Standardised X;Standardised Y;AllometricRegionID;Family;Genus;Species;Sub Species;Variety;Original Identification;Recommended Family;Recommended Species;Recommended Subspecies;Recommended Variety;FamilyAPGID;GenusID;SpeciesID;SubSpeciesID;Census No;Census Date;Voucher Code;Stem Group ID;Main Stem Tag;D0;D1;DPOMtMinus1;D2;D3;D4;POM0;POM;F1;F2;F3;F4;Extra D0;Extra D;Extra DPOMtMinus1;Extra D2;Extra D3;Extra D4;Extra POM0;Extra POM;Extra F3;Extra F4;CI;LI;CF;CD1;CD2;Height;F5;Height Broken At;Comments
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2221329;15217;P1SE6;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;51;51;;51;51;51;1300;1300;bn;1;0;0;;;;;;;;;;;;;;0.5;0.5;2.5;1;;era juvenil
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050034;91a;P1SE4;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;Daphnopsis fasciculata;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;20888;91a;76;76;;76;76;76;1300;1300;ah;1;0;0;;;;;;;;;;;;;;4;4;7;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049997;62;P1SE6;;;;;;;;Myrtaceae;Myrcia;Myrcia retorta;;;Myrcia retorta;Myrtaceae;Myrcia retorta;;;408;16891;423779;;2;2019.2315;;;;86;86;;86;86;86;1300;1300;a;1;0;0;;;;;;;;;;;;;;1.5;1.5;7.5;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050140;360;P1NW10;;;;;;;;Myrtaceae;Myrcia;Myrcia retorta;;;Myrcia retorta;Myrtaceae;Myrcia retorta;;;408;16891;423779;;2;2019.2315;;;;132;132;;132;132;132;1300;1300;a;1;0;0;;;;;;;;;;;;;;2;2;11;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050040;94;P1SE4;;;;;;;;Myrtaceae;Eugenia;Eugenia handroi;;;Eugenia handroi;Myrtaceae;Eugenia handroi;;;408;16835;224921;;2;2019.2315;;;;234;234;;234;234;234;1300;1300;a;1;0;0;;;;;;;;;;;;;;6;5;15;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049991;58;P1SE5;;;;;;;;Araucariaceae;Araucaria;Araucaria angustifolia;;;Araucaria angustifolia;Araucariaceae;Araucaria angustifolia;;;186;2471;38291;;2;2019.2315;;;;0;0;;0;0;0;0;0;0;aps;;;;;;;;;;;;;;;;;;;;;CINTA GABI
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050100;326b;P1SW9;;;;;;;;Myrtaceae;Myrcia;Myrcia retorta;;;Myrcia retorta;Myrtaceae;Myrcia retorta;;;408;16891;423779;;2;2019.2315;;20902;326a;191;191;;191;191;191;1300;1300;ah;1;0;0;;;;;;;;;;;;;;6;3;11;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050123;345;P1NW10;;;;;;;;Myrtaceae;Siphoneugena;Siphoneugena reitzii;;;Siphoneugena reitzii;Myrtaceae;Siphoneugena reitzii;;;408;16945;558428;;2;2019.2315;;;;76;76;;76;76;76;1300;1300;a;1;0;0;;;;;;;;;;;;;;1;2;8.5;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049931;4;P1NE1;;;;;;;;Lauraceae;Ocotea;Ocotea bicolor;;;Ocotea bicolor;Lauraceae;Ocotea bicolor;;;374;14636;434402;;2;2019.2315;;;;107;107;;107;107;107;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;2;9;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2221326;1986;P1SE6;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;54;54;;54;54;54;1300;1300;an;1;0;0;;;;;;;;;;;;;;3;1;4;1;;era juvenil
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049977;44;P1NE2;;;;;;;;Aquifoliaceae;Ilex;Ilex microdonta;;;Ilex microdonta;Aquifoliaceae;Ilex microdonta;;;12;2161;316313;;2;2019.2315;;;;455;455;;455;455;455;1300;1300;a;1;0;0;;;;;;;;;;;;;;9;5;14;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050054;101c;P1SE4;;;;;;;;Winteraceae;Drimys;Drimys angustifolia;;;Drimys angustifolia;Winteraceae;Drimys angustifolia;;;434;26776;188813;;2;2019.2315;;20893;101c;0;138;;138;138;138;0;1300;a;1;0;2;;;;;;;;;;;;;;3;3;8;4;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049954;25;P1NE3;;;;;;;;Asteraceae;Piptocarpha;Piptocarpha axillaris;;;Piptocarpha axillaris;Asteraceae;Piptocarpha axillaris;;;425;5342;482844;;2;2019.2315;;;;53;53;;53;53;53;1300;1300;a;1;0;0;;;;;;;;;;;;;;1;1;8;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050200;590;P1NW11;;;;;;;;Aquifoliaceae;Ilex;Ilex microdonta;;;Ilex microdonta;Aquifoliaceae;Ilex microdonta;;;12;2161;316313;;2;2019.2315;;;;94;94;;94;94;94;1300;1300;a;1;0;0;;;;;;;;;;;;;;1.5;1.5;9;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050077;119;P1SW8;;;;;;;;Aquifoliaceae;Ilex;Ilex microdonta;;;Ilex microdonta;Aquifoliaceae;Ilex microdonta;;;12;2161;316313;;2;2019.2315;;;;108;108;;108;108;108;1300;1300;a;1;0;0;;;;;;;;;;;;;;2;3;11.5;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050117;340;P1SW9;;;;;;;;Lauraceae;Ocotea;Ocotea bicolor;;;Ocotea bicolor;Lauraceae;Ocotea bicolor;;;374;14636;434402;;2;2019.2315;;;;141;141;;141;141;141;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;1;12;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050060;106;P1SW7;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;Daphnopsis fasciculata;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;84;84;;84;84;84;1300;1300;a;1;0;0;;;;;;;;;;;;;;2;2;6;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050014;75;P1SE4;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;Daphnopsis fasciculata;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;89;89;;89;89;89;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;3;9;1;;
