Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051949;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;229;;229;229;229;1300;ah;1;0;0;11.5;4;;;;;;;;;;;;;;;825a;I3NE1;825a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051617;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;428;;428;428;428;1300;a;1;0;4;20;4;;;;;;;;;;;;;;;904;I2NW10;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052041;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;345;;345;345;345;1300;a;1;0;0;10;4;;;;;;;;;;;;;;;897;I3NE2;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051354;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;177;;177;177;177;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;609b;I1SW9;609a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051523;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;137;;137;137;137;1300;ah;1;0;4;8;4;;;;;;;;;;;;;;;728b;I1NE1;728b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051500;;Myrtaceae;;Myrcia;;Myrcia lajeana;2;2019.644;113;;113;113;113;1300;a;1;0;4;9;4;;;;;;;;;;;;;;;715;I1NE1;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051972;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;462;;462;462;462;1300;a;1;0;0;15;4;;;;;;;;;;;;;;;844;I3SW9;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051940;;Aquifoliaceae;;Ilex;;Ilex paraguariensis;2;2019.644;138;;138;138;138;1300;a;1;0;0;12;4;;;;;;;;;;;;;;;819;I3NE1;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052014;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;114;;114;114;114;1300;a;1;0;0;8;4;;;;;;;;;;;;;;;879;I3NW11;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052031;;Theaceae;;Laplacea;;Laplacea acutifolia;2;2019.644;375;;375;375;375;1300;a;1;0;0;12;4;;;;;;;;;;;;;;;892;I3NE3;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051923;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;162;;162;162;162;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;803;I3SE6;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051914;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;177;;177;177;177;1300;ah;1;0;0;10.5;4;;;;;;;;;;;;;;;797a;I3SE6;797a
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051979;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;131;;131;131;131;1300;a;1;0;0;7.5;4;;;;;;;;;;;;;;;851;I3SW8;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051779;;Cunoniaceae;;Lamanonia;;Lamanonia ternata;2;2019.644;0;;0;0;0;1300;0;b;0;;;;;;;;;;;;;;;;;;1014a;I2SE5;1014b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051614;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;131;;131;131;131;1300;ah;1;0;4;7;4;;;;;;;;;;;;;;;903a;I2NW10;903a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051645;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;258;;106;106;106;1300;a;1;0;2;16;4;;;;;;;;;;;;;;;922b;I2NW11;922a
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051946;;Myrtaceae;;Myrciaria;;Myrciaria floribunda;2;2019.644;97;;97;97;97;1300;a;1;0;0;8;4;;;;;;;;;;;;;;;823;I3NE1;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051528;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;122;;122;122;122;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;732;I1SE5;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051848;;Lauraceae;;Ocotea;;Ocotea elegans;2;2019.644;175;;175;175;175;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;1063;I2SW7;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051862;;Myrtaceae;;Myrcia;;Myrcia oligantha;2;2019.644;107;;107;107;107;1300;ahn;1;0;4;7;4;;;;;;;;;;;;;;;1072a;I2SW8;1072a
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051445;;Myrtaceae;;Blepharocalyx;;Blepharocalyx salicifolius;2;2019.644;143;;143;143;143;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;681;I1NW12;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051479;;Aquifoliaceae;;Ilex;;Ilex microdonta;2;2019.644;283;;283;283;283;1300;a;1;0;4;12;4;;;;;;;;;;;;;;;704;I1NE3;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051379;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;467;;467;467;467;1300;a;1;0;4;20;4;;;;;;;;;;;;;;;631;I1SW7;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051980;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;140;;248;248;248;1300;a;1;0;2;10;4;;;;;;;;;;;;;;;852a;I3SW8;852a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051694;;Myrtaceae;;Myrceugenia;;Myrceugenia mesomischa;2;2019.644;161;;161;161;161;1300;ah;1;0;4;9.5;4;;;;;;;;;;;;;;;965a;I2NE3;965a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051780;;Cunoniaceae;;Lamanonia;;Lamanonia ternata;2;2019.644;382;;382;382;382;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;1014b;I2SE5;1014b
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051413;;Myrtaceae;;Myrceugenia;;Myrceugenia myrcioides;2;2019.644;200;;200;200;200;1300;a;1;0;4;8;4;;;;;;;;;;;;;;;659;I1NW11;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051579;;Rutaceae;;Zanthoxylum;;Zanthoxylum rhoifolium;2;2019.644;119;;119;119;119;1300;a;1;0;4;8;4;;;;;;;;;;;;;;;767;I1SE4;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051794;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;224;;224;224;224;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;1025;I2SE5;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2052029;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;244;;244;244;244;1300;a;1;0;0;10;4;;;;;;;;;;;;;;;890;I3NE3;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051797;;Myrtaceae;;Myrcia;;Myrcia guianensis;2;2019.644;259;;259;259;259;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;1028;I2SE5;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051897;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;173;;173;173;173;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;1092;I2SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051362;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;336;;336;336;336;1300;a;1;0;4;17;4;;;;;;;;;;;;;;;616;I1SW9;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051562;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;124;;124;124;124;1300;ah;1;0;4;8;4;;;;;;;;;;;;;;;754a;I1SE5;754a
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051811;;Aquifoliaceae;;Ilex;;Ilex paraguariensis;2;2019.644;269;;269;269;269;1300;ah;1;0;4;13;4;;;;;;;;;;;;;;;1041a;I2SE4;1041a
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051911;;Cunoniaceae;;Weinmannia;;Weinmannia paulliniifolia;2;2019.644;211;;211;211;211;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;794;I3SE6;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051611;;Myrtaceae;;Myrceugenia;;Myrceugenia euosma;2;2019.644;163;;142;142;142;1300;a;1;0;2;11.5;4;;;;;;;;;;;;;;;784a;I1SE6;784b
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051711;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;557;;557;557;557;1300;a;1;0;4;20;4;;;;;;;;;;;;;;;975;I2NE1;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051662;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;101;;101;101;101;1300;ah;1;0;4;11;4;;;;;;;;;;;;;;;931b;I2NW11;931a
